Number,Sector Length (m),Sector Radius (m),Total Length (m),Rotation (deg),Mirrored,Closed
124,5.25833051104348,56.2155177881718,0,0,0,0
125,5.76619770926277,56.0694455798397,0,0,0,0
126,5.7096821075254,29.7929072230134,0,0,0,0
127,4.59702435348879,29.7930398030717,0,0,0,0
128,5.70968278785438,45.5674944159227,0,0,0,0
129,5.45275334900498,22.048493801381,0,0,0,0
130,5.91566956803922,28.50871453039,0,0,0,0
131,5.5841273990942,55.2073759722829,0,0,0,0
132,5.88722951739328,11.2680843010413,0,0,0,0
133,5.32434088093544,10.4889273435306,0,0,0,0
134,4.58502176290756,7.78670634996599,0,0,0,0
135,5.64563897917731,21.3450962137098,0,0,0,0
136,5.1263650645102,15.9218028392798,0,0,0,0
137,5.8164376067017,60.4719036995398,0,0,0,0
138,4.20166123687636,13.8585899023501,0,0,0,0
139,6.3817287083408,57.9024535262142,0,0,0,0
140,5.69783678701265,10.4404734231584,0,0,0,0
141,4.84666780122564,23.3768829542034,0,0,0,0
142,4.91481807298896,14.8918093621489,0,0,0,0
143,5.87117096594091,17.886009778422,0,0,0,0
144,5.88723012970831,12.5820683524341,0,0,0,0
145,5.71768651480102,23.261808816249,0,0,0,0
146,4.91482485057202,14.3869210347348,0,0,0,0
147,5.07640600395553,91.0988196942141,0,0,0,0
148,5.65839238619822,22.3732688178453,0,0,0,0
149,5.84017232806673,22.5831992552628,0,0,0,0
150,4.86795448929934,10.4440602665959,0,0,0,0
151,5.35342908458688,14.0978408915704,0,0,0,0
152,6.03433485484595,9.24172847801561,0,0,0,0
153,5.03878646241844,10.9709438291974,0,0,0,0
154,5.05967190094054,14.7265723547496,0,0,0,0
155,4.73302282839802,12.8183058107924,0,0,0,0
156,5.36274201123672,21.2288848108895,0,0,0,0
157,4.93967117281477,17.4670073406635,0,0,0,0
158,5.13352230513908,17.4943515991017,0,0,0,0
159,4.86797763644074,33.6870261347406,0,0,0,0
160,5.31392886182789,12.1570076024837,0,0,0,0
161,4.9396754326774,14.0154889553543,0,0,0,0
162,5.50888280331947,25.1111136607953,0,0,0,0
163,4.94269138673587,7.99719786129197,0,0,0,0
164,5.68103402774909,16.9724984571379,0,0,0,0
165,5.5933219841944,48.4044573567429,0,0,0,0
166,5.88723308284636,11276810.9770728,0,0,0,0
167,5.88723236039755,68.9057731690934,0,0,0,0
168,6.46862829912129,137.004425296344,0,0,0,0
169,5.04225660378302,60.8510948428444,0,0,0,0
170,5.69106112563225,162.893138438813,0,0,0,0
171,5.27849147119753,123.443401158869,0,0,0,0
172,6.016713218718,30.8235700414368,0,0,0,0
173,5.0387949387989,32.0675819933261,0,0,0,0
174,5.6910608151893,16.3654305767571,0,0,0,0
175,4.93968827346555,25.4654774788537,0,0,0,0
176,5.42442800518904,249.970948722254,0,0,0,0
177,5.34882031799884,22.3667835472236,0,0,0,0
178,5.59332100965742,11.7304664241987,0,0,0,0
179,5.4527700956927,15.420307901864,0,0,0,0
180,4.91487074503686,24.050441099095,0,0,0,0
181,5.64215733078527,73.4078175602901,0,0,0,0
182,5.25208811359676,16.6909227303229,0,0,0,0
183,5.00072890931312,23.0407493244581,0,0,0,0
184,6.01737305790436,17.3168348042651,0,0,0,0
185,5.58413017626356,53.0681238911471,0,0,0,0
186,5.4429120501818,25.3644456396781,0,0,0,0
187,5.69106478155152,32.0670188054795,0,0,0,0
188,5.03880193141117,82.5698584390443,0,0,0,0
189,5.68105193148767,58.1849476625958,0,0,0,0
190,5.45277168223947,20.9129700463215,0,0,0,0
191,4.56586155635227,60.3671164244457,0,0,0,0
192,6.02176366429285,25.9699505831798,0,0,0,0
193,4.78201540857276,20.5854416906477,0,0,0,0
194,4.94277792435309,115.157448839961,0,0,0,0
195,5.47228771439632,98.5229129175432,0,0,0,0
196,4.86806396978545,21.2299570900726,0,0,0,0
197,5.85152613887226,8.90706662053652,0,0,0,0
198,4.82772382285498,14.7648355373988,0,0,0,0
199,6.03474371494281,16.6278854661759,0,0,0,0
200,5.58136779254801,41.8864917080566,0,0,0,0
201,4.65816906168516,15.9640363459126,0,0,0,0
202,6.30519690722213,30.8488403530466,0,0,0,0
203,5.68449958719543,15.810610102017,0,0,0,0
204,4.59706247344661,17.566814868607,0,0,0,0
205,5.15240078464194,15.6238280812964,0,0,0,0
206,5.6910730445511,19.5337082395956,0,0,0,0
207,5.32439395214783,26.7621297207549,0,0,0,0
208,4.91489398270005,11.2687171385763,0,0,0,0
209,5.58270971281559,16.3750272873887,0,0,0,0
210,5.59332184520554,45.1253217513973,0,0,0,0
211,5.10967248210432,11.7396747504591,0,0,0,0
212,5.71773074743896,9.46949897709271,0,0,0,0
213,5.07655069655266,13.9150903424856,0,0,0,0
214,5.76383656666258,21.3629253109411,0,0,0,0
215,5.76383375883233,27.4079296327584,0,0,0,0
216,5.35266386991361,19.7287598522689,0,0,0,0
217,4.58516433125965,6.50483485070361,0,0,0,0
218,5.12658485639963,5.24428451319374,0,0,0,0
219,5.42444589650268,5.0888720507387,0,0,0,0
220,4.15580182108783,6.57957037405862,0,0,0,0
221,5.7798746059259,36.9900832609879,0,0,0,0
222,5.62838165219659,30.9058116960966,0,0,0,0
223,5.12659462112697,9.46635440760444,0,0,0,0
224,5.0597851775301,5.88566556371707,0,0,0,0
225,4.66535348460957,14.262189649397,0,0,0,0
226,5.45278452571847,15.2092556575007,0,0,0,0
227,5.62940934261769,147.580267171141,0,0,0,0
228,6.46086941694693,18.0675663518751,0,0,0,0
229,4.22938391825323,11.0622741474657,0,0,0,0
230,5.9983041697385,7.93089994385952,0,0,0,0
231,4.20578248882657,28.4402088449623,0,0,0,0
232,5.28501834055123,15.0182702564506,0,0,0,0
233,6.03474883434387,17.0701595378577,0,0,0,0
234,4.63047921533666,7.05280490976122,0,0,0,0
235,4.82772647143793,5.3493007154592,0,0,0,0
236,5.39551219760688,14.1484453108872,0,0,0,0
237,5.64593509237534,22.8967727747559,0,0,0,0
238,5.31685015480252,26.1381935028912,0,0,0,0
239,5.1482809433835,8.5457886543647,0,0,0,0
240,5.0685362611373,5.5051522812479,0,0,0,0
241,4.51989512751561,7.0997487401905,0,0,0,0
242,5.14242394526127,9.8010857571394,0,0,0,0
243,5.31391243940197,57.1675879226201,0,0,0,0
244,4.66374469769835,20.0113560956339,0,0,0,0
245,5.25220396816826,47.9727226301851,0,0,0,0
